"date","currency_code","name","local_price","dollar_ex","dollar_price"
"2002-04-01",SGD,Singapore,3.3,1,3.3
"2002-04-01",ZAR,South Africa,9.7,10,0.97
"2002-04-01",KRW,South Korea,3100.0,1304,2.38
"2002-04-01",SEK,Sweden,26.0,10,2.6
"2002-04-01",CHF,Switzerland,6.3,1,6.3
"2002-04-01",TWD,Taiwan,70.0,34,2.06
"2002-04-01",THB,Thailand,55.0,43,1.28
"2002-04-01",TRY,Turkey,4000000.0,1324500,3.02
"2002-04-01",USD,United States,2.35,1,2.35
"2002-04-01",VEF,Venezuela,2500.0,857,2.92
"2003-04-01",ARS,Argentina,4.1,2,2.05
"2003-04-01",AUD,Australia,3.0,1,3.0
"2003-04-01",BRL,Brazil,4.55,3,1.52
"2003-04-01",GBP,Britain,1.99,1,1.99
"2003-04-01",CAD,Canada,3.2,1,3.2
"2003-04-01",CLP,Chile,1400.0,716,1.96
"2003-04-01",CNY,China,9.9,8,1.24
"2003-04-01",CZK,Czech Republic,56.57,28,2.02
"2003-04-01",DKK,Denmark,27.75,6,4.62
"2003-04-01",EGP,Egypt,8.0,5,1.6
"2003-04-01",EUR,Euro area,2.71,1,2.71
"2003-04-01",HKD,Hong Kong,11.5,7,1.64
"2003-04-01",HUF,Hungary,490.0,224,2.19
"2003-04-01",IDR,Indonesia,16100.0,8740,1.84
"2003-04-01",JPY,Japan,262.0,120,2.18
"2003-04-01",MYR,Malaysia,5.04,3,1.68
"2003-04-01",MXN,Mexico,23.0,10,2.3
"2003-04-01",NZD,New Zealand,3.95,1,3.95
"2003-04-01",PEN,Peru,7.9,3,2.63
"2003-04-01",PHP,Philippines,65.0,52,1.25
"2003-04-01",PLN,Poland,6.3,3,2.1
"2003-04-01",RUB,Russia,41.0,31,1.32
"2003-04-01",SGD,Singapore,3.3,1,3.3
"2003-04-01",ZAR,South Africa,13.95,7,1.99
"2003-04-01",KRW,South Korea,3300.0,1220,2.7
"2003-04-01",SEK,Sweden,30.0,8,3.75
"2003-04-01",CHF,Switzerland,6.3,1,6.3
"2003-04-01",TWD,Taiwan,70.0,34,2.06
"2003-04-01",THB,Thailand,59.0,42,1.4
"2003-04-01",TRY,Turkey,3750000.0,1600500,2.34
"2003-04-01",USD,United States,2.46,1,2.46
"2003-04-01",VEF,Venezuela,3700.0,1598,2.32
"2004-05-01",ARS,Argentina,4.36,2,2.18
"2004-05-01",AUD,Australia,3.25,1,3.25
"2004-05-01",BRL,Brazil,5.4,3,1.8
"2004-05-01",GBP,Britain,1.88,1,1.88
"2004-05-01",CAD,Canada,3.19,1,3.19
"2004-05-01",CLP,Chile,1400.0,641,2.18
"2004-05-01",CNY,China,10.4,8,1.3
"2004-05-01",COP,Colombia,6500.0,2769,2.35
"2004-05-01",CRC,Costa Rica,1130.0,433,2.61
"2004-05-01",CZK,Czech Republic,56.42,26,2.17
"2004-05-01",DKK,Denmark,27.75,6,4.62
"2004-05-01",EGP,Egypt,10.0,6,1.67
"2004-05-01",EUR,Euro area,2.74,1,2.74
"2004-05-01",HKD,Hong Kong,12.0,7,1.71
"2004-05-01",HUF,Hungary,530.0,211,2.51
"2004-05-01",IDR,Indonesia,16100.0,9120,1.77
"2004-05-01",JPY,Japan,262.0,113,2.32
"2004-05-01",MYR,Malaysia,5.04,3,1.68
"2004-05-01",MXN,Mexico,24.0,11,2.18
"2004-05-01",NZD,New Zealand,4.35,1,4.35
"2004-05-01",NOK,Norway,35.5,6,5.92
"2004-05-01",PKR,Pakistan,110.0,57,1.93
"2004-05-01",PEN,Peru,8.99,3,3.0
"2004-05-01",PHP,Philippines,69.0,55,1.25
"2004-05-01",PLN,Poland,6.3,3,2.1
"2004-05-01",RUB,Russia,42.0,29,1.45
"2004-05-01",SAR,Saudi Arabia,2.4,3,0.8
"2004-05-01",SGD,Singapore,3.3,1,3.3
"2004-05-01",ZAR,South Africa,12.4,6,2.07
"2004-05-01",KRW,South Korea,3200.0,1177,2.72
"2004-05-01",LKR,Sri Lanka,140.0,99,1.41
"2004-05-01",SEK,Sweden,30.0,7,4.29
"2004-05-01",CHF,Switzerland,6.3,1,6.3
"2004-05-01",TWD,Taiwan,75.0,33,2.27
"2004-05-01",THB,Thailand,59.0,40,1.48
"2004-05-01",TRY,Turkey,3950000.0,1531000,2.58
"2004-05-01",UAH,Ukraine,7.25,5,1.45
"2004-05-01",USD,United States,2.47,1,2.47
"2004-05-01",UYU,Uruguay,29.8,29,1.03
"2004-05-01",VEF,Venezuela,4400.0,2977,1.48
"2005-06-01",ARS,Argentina,4.75,2,2.38
"2005-06-01",AUD,Australia,3.25,1,3.25
"2005-06-01",BRL,Brazil,5.9,2,2.95
"2005-06-01",GBP,Britain,1.88,1,1.88
"2005-06-01",CAD,Canada,3.28,1,3.28
"2005-06-01",CLP,Chile,1500.0,592,2.53
"2005-06-01",CNY,China,10.5,8,1.31
"2005-06-01",COP,Colombia,6500.0,2327,2.79
"2005-06-01",CRC,Costa Rica,1130.0,475,2.38
"2005-06-01",CZK,Czech Republic,56.42,24,2.35
"2005-06-01",DKK,Denmark,27.75,6,4.62
"2005-06-01",EGP,Egypt,9.0,5,1.8
"2005-06-01",EUR,Euro area,2.92,1,2.92
"2005-06-01",HKD,Hong Kong,12.0,7,1.71
"2005-06-01",HUF,Hungary,530.0,203,2.61
"2005-06-01",IDR,Indonesia,14600.0,9545,1.53
"2005-06-01",JPY,Japan,250.0,106,2.36
"2005-06-01",MYR,Malaysia,5.25,3,1.75
"2005-06-01",MXN,Mexico,28.0,10,2.8
"2005-06-01",NZD,New Zealand,4.45,1,4.45
"2005-06-01",NOK,Norway,39.0,6,6.5
"2005-06-01",PKR,Pakistan,130.0,59,2.2
"2005-06-01",PEN,Peru,8.99,3,3.0
"2005-06-01",PHP,Philippines,80.0,54,1.48
"2005-06-01",PLN,Poland,6.5,3,2.17
"2005-06-01",RUB,Russia,42.0,28,1.5
"2005-06-01",SAR,Saudi Arabia,9.0,3,3.0
"2005-06-01",SGD,Singapore,3.6,1,3.6
"2005-06-01",ZAR,South Africa,13.95,6,2.32
"2005-06-01",KRW,South Korea,2500.0,1005,2.49
"2005-06-01",LKR,Sri Lanka,175.0,99,1.77
"2005-06-01",SEK,Sweden,31.0,7,4.43
"2005-06-01",CHF,Switzerland,6.3,1,6.3
"2005-06-01",TWD,Taiwan,75.0,31,2.42
"2005-06-01",THB,Thailand,60.0,40,1.5
"2005-06-01",TRY,Turkey,4.0,1,4.0
"2005-06-01",AED,UAE,9.0,3,3.0
"2005-06-01",UAH,Ukraine,7.25,5,1.45
"2005-06-01",USD,United States,2.58,1,2.58
"2005-06-01",UYU,Uruguay,44.0,24,1.83
"2005-06-01",VEF,Venezuela,5600.0,2629,2.13
"2006-01-01",ARS,Argentina,4.75,3,1.58
"2006-01-01",AUD,Australia,3.25,1,3.25
"2006-01-01",BRL,Brazil,6.2,2,3.1
"2006-01-01",GBP,Britain,1.88,1,1.88
"2006-01-01",CAD,Canada,3.52,1,3.52
"2006-01-01",CLP,Chile,1560.0,522,2.99
"2006-01-01",CNY,China,10.5,8,1.31
"2006-01-01",CZK,Czech Republic,62.0,23,2.7
"2006-01-01",DKK,Denmark,27.75,6,4.62
"2006-01-01",EGP,Egypt,9.25,5,1.85
"2006-01-01",EUR,Euro area,2.91,1,2.91
"2006-01-01",HKD,Hong Kong,12.0,7,1.71
"2006-01-01",HUF,Hungary,560.0,206,2.72
"2006-01-01",IDR,Indonesia,14600.0,9460,1.54
"2006-01-01",JPY,Japan,250.0,114,2.19
"2006-01-01",MYR,Malaysia,5.5,3,1.83
"2006-01-01",MXN,Mexico,28.0,10,2.8
"2006-01-01",NZD,New Zealand,4.45,1,4.45
"2006-01-01",PEN,Peru,9.5,3,3.17
"2006-01-01",PHP,Philippines,82.0,52,1.58
"2006-01-01",PLN,Poland,6.5,3,2.17
"2006-01-01",RUB,Russia,46.0,28,1.64
"2006-01-01",SGD,Singapore,3.6,1,3.6
"2006-01-01",ZAR,South Africa,13.95,6,2.32
"2006-01-01",KRW,South Korea,2500.0,977,2.56
"2006-01-01",SEK,Sweden,33.0,7,4.71
"2006-01-01",CHF,Switzerland,6.3,1,6.3
"2006-01-01",TWD,Taiwan,75.0,31,2.42
"2006-01-01",THB,Thailand,60.0,39,1.54
"2006-01-01",TRY,Turkey,4.1,1,4.1
"2006-01-01",USD,United States,2.67,1,2.67
"2006-01-01",VEF,Venezuela,5900.0,2615,2.26
"2006-05-01",ARS,Argentina,7.0,3,2.33
"2006-05-01",AUD,Australia,3.25,1,3.25
"2006-05-01",BRL,Brazil,6.4,2,3.2
"2006-05-01",GBP,Britain,1.94,1,1.94
"2006-05-01",CAD,Canada,3.52,1,3.52
"2006-05-01",CLP,Chile,1560.0,529,2.95
"2006-05-01",CNY,China,10.5,8,1.31
"2006-05-01",COP,Colombia,6500.0,2503,2.6
"2006-05-01",CRC,Costa Rica,1130.0,509,2.22
"2006-05-01",CZK,Czech Republic,59.05,22,2.68
"2006-05-01",DKK,Denmark,27.75,5,5.55
"2006-05-01",EGP,Egypt,9.5,5,1.9
"2006-05-01",EUR,Euro area,2.939573529,1,2.94
"2006-05-01",HKD,Hong Kong,12.0,7,1.71
"2006-05-01",HUF,Hungary,560.0,206,2.72
"2006-05-01",IDR,Indonesia,14600.0,9325,1.57
"2006-05-01",JPY,Japan,250.0,112,2.23
"2006-05-01",MYR,Malaysia,5.5,3,1.83
"2006-05-01",MXN,Mexico,29.0,11,2.64
"2006-05-01",NZD,New Zealand,4.45,1,4.45
"2006-05-01",NOK,Norway,43.0,6,7.17
"2006-05-01",PKR,Pakistan,130.0,60,2.17
"2006-05-01",PEN,Peru,9.5,3,3.17
"2006-05-01",PHP,Philippines,85.0,52,1.63
"2006-05-01",PLN,Poland,6.5,3,2.17
"2006-05-01",RUB,Russia,48.0,27,1.78
"2006-05-01",SAR,Saudi Arabia,9.0,3,3.0
"2006-05-01",SGD,Singapore,3.6,1,3.6
"2006-05-01",ZAR,South Africa,13.95,6,2.32
"2006-05-01",KRW,South Korea,2500.0,952,2.63
"2006-05-01",LKR,Sri Lanka,190.0,102,1.86
"2006-05-01",SEK,Sweden,33.0,7,4.71
"2006-05-01",CHF,Switzerland,6.3,1,6.3
"2006-05-01",TWD,Taiwan,75.0,32,2.34
"2006-05-01",THB,Thailand,60.0,38,1.58
"2006-05-01",TRY,Turkey,4.2,1,4.2
"2006-05-01",AED,UAE,9.0,3,3.0
"2006-05-01",UAH,Ukraine,8.5,5,1.7
"2006-05-01",USD,United States,2.78,1,2.78
"2006-05-01",UYU,Uruguay,42.28,23,1.84
"2006-05-01",VEF,Venezuela,5701.25,2519,2.26
"2007-01-01",ARS,Argentina,8.25,3,2.75
"2007-01-01",AUD,Australia,3.45,1,3.45
"2007-01-01",BRL,Brazil,6.4,2,3.2
"2007-01-01",GBP,Britain,1.94,1,1.94
"2007-01-01",CAD,Canada,3.63,1,3.63
"2007-01-01",CLP,Chile,1670.0,540,3.09
"2007-01-01",CNY,China,11.0,7,1.57
"2007-01-01",COP,Colombia,6900.0,2239,3.08
"2007-01-01",CRC,Costa Rica,1130.0,509,2.22
"2007-01-01",CZK,Czech Republic,52.1,21,2.48
"2007-01-01",DKK,Denmark,27.75,5,5.55
"2007-01-01",EGP,Egypt,9.09,5,1.82
"2007-01-01",EUR,Euro area,2.94,1,2.94
"2007-01-01",HKD,Hong Kong,12.0,7,1.71
"2007-01-01",HUF,Hungary,590.0,194,3.04
"2007-01-01",IDR,Indonesia,15900.0,9090,1.75
"2007-01-01",JPY,Japan,280.0,121,2.31
"2007-01-01",MYR,Malaysia,5.5,3,1.83
"2007-01-01",MXN,Mexico,29.0,10,2.9
"2007-01-01",NZD,New Zealand,4.6,1,4.6
"2007-01-01",NOK,Norway,41.5,6,6.92
"2007-01-01",PKR,Pakistan,140.0,60,2.33
"2007-01-01",PEN,Peru,9.5,3,3.17
"2007-01-01",PHP,Philippines,85.0,49,1.73
"2007-01-01",PLN,Poland,6.9,2,3.45
"2007-01-01",RUB,Russia,49.0,26,1.88
"2007-01-01",SAR,Saudi Arabia,9.0,3,3.0
"2007-01-01",SGD,Singapore,3.6,1,3.6
"2007-01-01",ZAR,South Africa,15.5,7,2.21
"2007-01-01",KRW,South Korea,2900.0,940,3.09
"2007-01-01",LKR,Sri Lanka,190.0,102,1.86
"2007-01-01",SEK,Sweden,32.0,7,4.57
"2007-01-01",CHF,Switzerland,6.3,1,6.3
"2007-01-01",TWD,Taiwan,75.0,32,2.34
"2007-01-01",THB,Thailand,62.0,35,1.77
"2007-01-01",TRY,Turkey,4.55,1,4.55
"2007-01-01",AED,UAE,10.0,3,3.33
"2007-01-01",UAH,Ukraine,9.0,5,1.8
"2007-01-01",USD,United States,2.89,1,2.89
"2007-01-01",UYU,Uruguay,55.0,23,2.39
"2007-01-01",VEF,Venezuela,6800.0,4125,1.65
"2007-06-01",ARS,Argentina,8.25,3,2.75
"2007-06-01",AUD,Australia,3.45,1,3.45
"2007-06-01",BRL,Brazil,6.9,1,6.9
"2007-06-01",GBP,Britain,1.99,1,1.99
"2007-06-01",CAD,Canada,3.88,1,3.88
"2007-06-01",CLP,Chile,1565.0,526,2.98
"2007-06-01",CNY,China,11.0,7,1.57
"2007-06-01",COP,Colombia,6900.0,1956,3.53
"2007-06-01",CRC,Costa Rica,1130.0,518,2.18
"2007-06-01",CZK,Czech Republic,52.9,21,2.52
"2007-06-01",DKK,Denmark,27.75,5,5.55
"2007-06-01",EGP,Egypt,9.54,5,1.91
"2007-06-01",EUR,Euro area,3.057482443,1,3.06
"2007-06-01",HKD,Hong Kong,12.0,7,1.71
"2007-06-01",HUF,Hungary,600.0,180,3.33
"2007-06-01",IDR,Indonesia,15900.0,9015,1.76
"2007-06-01",JPY,Japan,280.0,122,2.3
"2007-06-01",MYR,Malaysia,5.5,3,1.83
"2007-06-01",MXN,Mexico,29.0,10,2.9
"2007-06-01",NZD,New Zealand,4.6,1,4.6
"2007-06-01",NOK,Norway,40.0,5,8.0
"2007-06-01",PKR,Pakistan,140.0,60,2.33
"2007-06-01",PEN,Peru,9.5,3,3.17
"2007-06-01",PHP,Philippines,85.0,45,1.89
"2007-06-01",PLN,Poland,6.9,2,3.45
"2007-06-01",RUB,Russia,52.0,25,2.08
"2007-06-01",SAR,Saudi Arabia,9.0,3,3.0
"2007-06-01",SGD,Singapore,3.95,1,3.95
"2007-06-01",ZAR,South Africa,15.5,6,2.58
"2007-06-01",KRW,South Korea,2900.0,922,3.15
"2007-06-01",LKR,Sri Lanka,210.0,111,1.89
"2007-06-01",SEK,Sweden,33.0,6,5.5
"2007-06-01",CHF,Switzerland,6.3,1,6.3
"2007-06-01",TWD,Taiwan,75.0,32,2.34
"2007-06-01",THB,Thailand,62.0,34,1.82
"2007-06-01",TRY,Turkey,4.75,1,4.75
"2007-06-01",AED,UAE,10.0,3,3.33
"2007-06-01",UAH,Ukraine,9.25,5,1.85
"2007-06-01",USD,United States,3.0,1,3.0
"2007-06-01",UYU,Uruguay,62.0,23,2.7
"2007-06-01",VEF,Venezuela,7400.0,2147,3.45
"2008-06-01",ARS,Argentina,11.0,3,3.67
"2008-06-01",AUD,Australia,3.45,1,3.45
"2008-06-01",BRL,Brazil,7.5,1,7.5
"2008-06-01",GBP,Britain,2.29,1,2.29
"2008-06-01",CAD,Canada,4.09,1,4.09
"2008-06-01",CLP,Chile,1550.0,494,3.14
"2008-06-01",CNY,China,12.5,6,2.08
"2008-06-01",COP,Colombia,7000.0,1798,3.89
"2008-06-01",CRC,Costa Rica,1800.0,551,3.27
"2008-06-01",CZK,Czech Republic,66.08,14,4.72
"2008-06-01",DKK,Denmark,28.0,4,7.0
"2008-06-01",EGP,Egypt,13.0,5,2.6
"2008-06-01",EUR,Euro area,3.36856,1,3.37
"2008-06-01",HKD,Hong Kong,13.3,7,1.9
"2008-06-01",HUF,Hungary,670.0,144,4.65
"2008-06-01",IDR,Indonesia,18700.0,9152,2.04
"2008-06-01",JPY,Japan,280.0,106,2.64
"2008-06-01",MYR,Malaysia,5.5,3,1.83
"2008-06-01",MXN,Mexico,32.0,10,3.2
"2008-06-01",NZD,New Zealand,4.9,1,4.9
"2008-06-01",NOK,Norway,40.0,5,8.0
"2008-06-01",PKR,Pakistan,140.0,70,2.0
"2008-06-01",PEN,Peru,9.5,2,4.75
"2008-06-01",PHP,Philippines,87.0,44,1.98
"2008-06-01",PLN,Poland,7.0,2,3.5
"2008-06-01",RUB,Russia,59.0,23,2.57
"2008-06-01",SAR,Saudi Arabia,10.0,3,3.33
"2008-06-01",SGD,Singapore,3.95,1,3.95
"2008-06-01",ZAR,South Africa,16.95,7,2.42
"2008-06-01",KRW,South Korea,3200.0,1018,3.14
"2008-06-01",LKR,Sri Lanka,210.0,107,1.96
"2008-06-01",SEK,Sweden,38.0,5,7.6
"2008-06-01",CHF,Switzerland,6.5,1,6.5
"2008-06-01",TWD,Taiwan,75.0,30,2.5
"2008-06-01",THB,Thailand,62.0,33,1.88
"2008-06-01",TRY,Turkey,5.15,1,5.15
"2008-06-01",AED,UAE,10.0,3,3.33
"2008-06-01",UAH,Ukraine,11.0,4,2.75
"2008-06-01",USD,United States,3.21,1,3.21
"2008-06-01",UYU,Uruguay,61.0,19,3.21
"2009-07-01",ARS,Argentina,11.5,3,3.83
"2009-07-01",AUD,Australia,4.34,1,4.34
"2009-07-01",BRL,Brazil,8.03,1,8.03
"2009-07-01",GBP,Britain,2.29,1,2.29
"2009-07-01",CAD,Canada,3.89,1,3.89
"2009-07-01",CLP,Chile,1750.0,548,3.19
"2009-07-01",CNY,China,12.5,6,2.08
"2009-07-01",COP,Colombia,7000.0,2095,3.34
"2009-07-01",CRC,Costa Rica,2000.0,582,3.44
"2009-07-01",CZK,Czech Republic,67.92,18,3.77
"2009-07-01",DKK,Denmark,29.5,5,5.9
"2009-07-01",EGP,Egypt,13.0,5,2.6
"2009-07-01",EUR,Euro area,3.31,1,3.31
"2009-07-01",HKD,Hong Kong,13.3,7,1.9
"2009-07-01",HUF,Hungary,720.0,199,3.62
"2009-07-01",IDR,Indonesia,20900.0,10200,2.05
"2009-07-01",ILS,Israel,15.0,3,5.0
"2009-07-01",JPY,Japan,320.0,92,3.48
"2009-07-01",MYR,Malaysia,6.77,3,2.26
"2009-07-01",MXN,Mexico,33.0,13,2.54
"2009-07-01",NZD,New Zealand,4.9,1,4.9
"2009-07-01",NOK,Norway,40.0,6,6.67
"2009-07-01",PKR,Pakistan,190.0,82,2.32
"2009-07-01",PEN,Peru,8.056,3,2.69
"2009-07-01",PHP,Philippines,99.39,48,2.07
"2009-07-01",PLN,Poland,7.6,3,2.53
"2009-07-01",RUB,Russia,67.0,32,2.09
"2009-07-01",SAR,Saudi Arabia,11.0,3,3.67
"2009-07-01",SGD,Singapore,4.22,1,4.22
"2009-07-01",ZAR,South Africa,17.95,8,2.24
"2009-07-01",KRW,South Korea,3400.0,1314,2.59
"2009-07-01",LKR,Sri Lanka,210.0,114,1.84
"2009-07-01",SEK,Sweden,39.0,7,5.57
"2009-07-01",CHF,Switzerland,6.5,1,6.5
"2009-07-01",TWD,Taiwan,75.0,33,2.27
"2009-07-01",THB,Thailand,64.49,34,1.9
"2009-07-01",TRY,Turkey,5.65,1,5.65
"2009-07-01",AED,UAE,10.0,3,3.33
"2009-07-01",UAH,Ukraine,14.0,7,2.0
"2009-07-01",USD,United States,3.43,1,3.43
"2009-07-01",UYU,Uruguay,61.0,23,2.65
"2010-01-01",ARS,Argentina,7.0,3,2.33
"2010-01-01",AUD,Australia,4.35,1,4.35
"2010-01-01",BRL,Brazil,8.2,1,8.2
"2010-01-01",GBP,Britain,2.29,1,2.29
"2010-01-01",CAD,Canada,4.12,1,4.12
"2010-01-01",CLP,Chile,1600.0,503,3.18
"2010-01-01",CNY,China,12.5,6,2.08
"2010-01-01",COP,Colombia,8200.0,2095,3.91
"2010-01-01",CRC,Costa Rica,2050.0,582,3.52
"2010-01-01",CZK,Czech Republic,67.64,18,3.76
"2010-01-01",DKK,Denmark,30.94,5,6.19
"2010-01-01",EGP,Egypt,13.0,5,2.6
"2010-01-01",EUR,Euro area,3.36,1,3.36
"2010-01-01",HKD,Hong Kong,14.8,7,2.11
"2010-01-01",HUF,Hungary,720.0,186,3.87
"2010-01-01",IDR,Indonesia,20900.0,9320,2.24
"2010-01-01",ILS,Israel,14.9,3,4.97
"2010-01-01",JPY,Japan,320.0,91,3.52
"2010-01-01",MYR,Malaysia,7.05,3,2.35
"2010-01-01",MXN,Mexico,32.0,12,2.67
"2010-01-01",NZD,New Zealand,4.9,1,4.9
"2010-01-01",NOK,Norway,40.0,5,8.0
"2010-01-01",PKR,Pakistan,200.0,82,2.44
"2010-01-01",PEN,Peru,8.056,2,4.03
"2010-01-01",PHP,Philippines,101.52,45,2.26
"2010-01-01",PLN,Poland,8.1,2,4.05
"2010-01-01",RUB,Russia,70.0,29,2.41
"2010-01-01",SAR,Saudi Arabia,10.0,3,3.33
"2010-01-01",SGD,Singapore,4.45,1,4.45
"2010-01-01",ZAR,South Africa,17.95,7,2.56
"2010-01-01",KRW,South Korea,3400.0,1140,2.98
"2010-01-01",LKR,Sri Lanka,210.0,114,1.84
"2010-01-01",SEK,Sweden,39.0,7,5.57
"2010-01-01",CHF,Switzerland,6.5,1,6.5
"2010-01-01",TWD,Taiwan,75.0,31,2.42
"2010-01-01",THB,Thailand,70.0,33,2.12
"2010-01-01",TRY,Turkey,5.65,1,5.65
"2010-01-01",AED,UAE,11.0,3,3.67
"2010-01-01",UAH,Ukraine,14.0,7,2.0
"2010-01-01",USD,United States,3.43,1,3.43
"2010-01-01",UYU,Uruguay,77.0,23,3.35
"2010-07-01",ARS,Argentina,14.0,3,4.67
"2010-07-01",AUD,Australia,4.35,1,4.35
"2010-07-01",BRL,Brazil,8.71,1,8.71
"2010-07-01",GBP,Britain,2.29,1,2.29
"2010-07-01",CAD,Canada,4.17,1,4.17
"2010-07-01",CLP,Chile,1750.0,523,3.35
"2010-07-01",CNY,China,13.2,6,2.2
"2010-07-01",COP,Colombia,8200.0,1868,4.39
"2010-07-01",CRC,Costa Rica,2000.0,522,3.83
"2010-07-01",CZK,Czech Republic,67.64,19,3.56
"2010-07-01",DKK,Denmark,28.5,5,5.7
"2010-07-01",EGP,Egypt,13.0,5,2.6
"2010-07-01",EUR,Euro area,3.380031071,1,3.38
"2010-07-01",HKD,Hong Kong,14.8,7,2.11
"2010-07-01",HUF,Hungary,740.0,221,3.35
"2010-07-01",IDR,Indonesia,22780.0,9063,2.51
"2010-07-01",ILS,Israel,14.9,3,4.97
"2010-07-01",JPY,Japan,320.0,87,3.68
"2010-07-01",MYR,Malaysia,7.05,3,2.35
"2010-07-01",MXN,Mexico,32.0,12,2.67
"2010-07-01",NZD,New Zealand,5.0,1,5.0
"2010-07-01",NOK,Norway,45.0,6,7.5
"2010-07-01",PKR,Pakistan,210.0,85,2.47
"2010-07-01",PEN,Peru,10.0,2,5.0
"2010-07-01",PHP,Philippines,102.0,46,2.22
"2010-07-01",PLN,Poland,8.3,3,2.77
"2010-07-01",RUB,Russia,71.0,30,2.37
"2010-07-01",SAR,Saudi Arabia,10.0,3,3.33
"2010-07-01",SGD,Singapore,4.23,1,4.23
"2010-07-01",ZAR,South Africa,18.45,7,2.64
"2010-07-01",KRW,South Korea,3400.0,1204,2.82
"2010-07-01",LKR,Sri Lanka,210.0,112,1.88
