show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,duracao_min
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Not Given,9/17/2021,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",110
s37,Movie,The Stronghold,Cédric Jimenez,Not Given,9/17/2021,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",105
s39,Movie,Birth of the Dragon,George Nolfi,China,9/16/2021,2017,PG-13,96 min,"Action & Adventure, Dramas",96
s76,Movie,You vs. Wild: Out Cold,Ben Simms,United States,9/14/2021,2021,TV-G,106 min,Children & Family Movies,106
s42,Movie,Jaws,Steven Spielberg,United States,9/16/2021,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",124
s43,Movie,Jaws 2,Jeannot Szwarc,United States,9/16/2021,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",116
s44,Movie,Jaws 3,Joe Alves,United States,9/16/2021,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",98
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States,9/16/2021,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",91
s47,Movie,Safe House,Daniel Espinosa,South Africa,9/16/2021,2012,R,115 min,Action & Adventure,115
s49,Movie,Training Day,Antoine Fuqua,United States,9/16/2021,2001,R,122 min,"Dramas, Thrillers",122
s1093,Movie,Dolly Parton: A MusiCares Tribute,Not Given,Pakistan,4/7/2021,2021,TV-PG,55 min,"Documentaries, Music & Musicals",55
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,9/15/2021,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",99
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,9/15/2021,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",99
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,9/15/2021,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",88
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,9/15/2021,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",100
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Not Given,9/16/2021,2021,PG,23 min,Documentaries,23
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,9/15/2021,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",102
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,9/15/2021,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",93
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,9/15/2021,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",96
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,9/15/2021,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",95
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,9/15/2021,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",85
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,9/15/2021,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",97
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,9/15/2021,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",95
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan,9/15/2021,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",83
s74,Movie,King of Boys,Kemi Adetiba,Nigeria,9/14/2021,2018,TV-MA,182 min,"Dramas, International Movies",182
s82,Movie,Kate,Cedric Nicolas-Troyan,United States,9/10/2021,2021,R,106 min,Action & Adventure,106
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,9/10/2021,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",147
s87,Movie,Prey,Thomas Sieben,Germany,9/10/2021,2021,TV-MA,87 min,"International Movies, Thrillers",87
s405,Movie,9to5: The Story of a Movement,Not Given,Pakistan,7/22/2021,2021,TV-MA,85 min,Documentaries,85
s91,Movie,Paradise Hills,Alice Waddington,Spain,9/9/2021,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers",95
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,9/9/2021,2021,TV-14,92 min,"Documentaries, International Movies",92
s95,Movie,Show Dogs,Raja Gosnell,United Kingdom,9/8/2021,2018,PG,90 min,"Children & Family Movies, Comedies",90
s1071,Movie,Why Did You Kill Me?,Fredrick Munk,United States,4/14/2021,2021,TV-MA,84 min,Documentaries,84
s642,Movie,Sisters on Track,Not Given,Pakistan,6/24/2021,2021,PG,97 min,"Documentaries, Sports Movies",97
s78,Movie,Little Singham - Black Shadow,Prakash Satam,Not Given,9/11/2021,2021,TV-Y7,48 min,"Children & Family Movies, Comedies",48
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,Not Given,9/10/2021,2021,TV-Y7,93 min,Children & Family Movies,93
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,Not Given,9/11/2021,2020,TV-14,145 min,"Comedies, Dramas, International Movies",145
s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,Not Given,9/11/2021,2021,TV-14,145 min,"Comedies, Dramas, International Movies",145
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,Not Given,9/9/2021,2021,PG-13,96 min,"Documentaries, Sports Movies",96
s94,Movie,JJ+E,Alexis Almström,Not Given,9/8/2021,2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies",91
s113,Movie,Worth,Sara Colangelo,United States,9/3/2021,2021,PG-13,119 min,Dramas,119
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,9/7/2021,2018,TV-MA,97 min,"Documentaries, Music & Musicals",97
s114,Movie,Afterlife of the Party,Stephen Herek,United States,9/2/2021,2021,TV-PG,110 min,"Comedies, Romantic Movies",110
s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,9/7/2021,2021,TV-MA,80 min,"Documentaries, Sports Movies",80
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,9/5/2021,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas",128
s108,Movie,A Champion Heart,David de Vos,United States,9/4/2021,2018,G,90 min,"Children & Family Movies, Dramas",90
s115,Movie,Anjaam,Rahul Rawail,India,9/2/2021,1994,TV-14,143 min,"Dramas, International Movies, Thrillers",143
s718,Movie,Headspace: Unwind Your Mind,Not Given,Pakistan,6/15/2021,2021,TV-G,273 min,Documentaries,273
s733,Movie,To All the Boys: Always and Forever - The Afterparty,Not Given,Pakistan,6/12/2021,2021,TV-MA,36 min,Movies,36
s739,Movie,Trese After Dark,Not Given,Pakistan,6/11/2021,2021,TV-14,36 min,"Anime Features, Documentaries",36
s850,Movie,Sam Smith: Love Goes - Live at Abbey Road Studios,Not Given,Pakistan,5/22/2021,2020,TV-G,61 min,"International Movies, Music & Musicals",61
s104,Movie,Shadow Parties,Yemi Amodu,Not Given,9/6/2021,2020,TV-MA,117 min,"Dramas, International Movies, Thrillers",117
s116,Movie,Bright Star,Jane Campion,United Kingdom,9/2/2021,2009,PG,119 min,"Dramas, Romantic Movies",119
s117,Movie,Dhanak,Nagesh Kukunoor,India,9/2/2021,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",114
s118,Movie,Final Account,Luke Holland,United Kingdom,9/2/2021,2021,PG-13,94 min,Documentaries,94
s119,Movie,Gurgaon,Shanker Raman,India,9/2/2021,2017,TV-14,106 min,"Dramas, International Movies, Thrillers",106
s120,Movie,Here and There,JP Habac,Philippines,9/2/2021,2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies",99
s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,France,9/1/2021,2017,PG-13,115 min,"Dramas, International Movies, Thrillers",115
s123,Movie,In the Cut,Jane Campion,United Kingdom,9/2/2021,2003,R,118 min,Thrillers,118
s1006,Movie,Keymon and Nani in Space Adventure,Not Given,Pakistan,4/20/2021,2013,TV-Y,76 min,"Children & Family Movies, Comedies",76
s1011,Movie,Rudra: The Rise of King Pharaoh,Not Given,Pakistan,4/20/2021,2019,TV-Y7,91 min,Children & Family Movies,91
s127,Movie,Shikara,Vidhu Vinod Chopra,India,9/2/2021,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",115
s128,Movie,A Cinderella Story,Mark Rosman,United States,9/1/2021,2004,PG,95 min,"Children & Family Movies, Comedies",95
s130,Movie,An Unfinished Life,Lasse Hallström,Germany,9/1/2021,2005,PG-13,108 min,Dramas,108
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,United States,9/1/2021,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",117
s1029,Movie,Dad Stop Embarrassing Me - The Afterparty,Not Given,Pakistan,4/16/2021,2021,TV-14,37 min,Comedies,37
s134,Movie,Chappie,Neill Blomkamp,South Africa,9/1/2021,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",121
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,United States,9/1/2021,2016,TV-MA,88 min,Comedies,88
s131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,Not Given,9/1/2021,2021,TV-Y,63 min,"Children & Family Movies, Music & Musicals",63
s135,Movie,Clear and Present Danger,Phillip Noyce,United States,9/1/2021,1994,PG-13,142 min,"Action & Adventure, Dramas",142
s136,Movie,Cliffhanger,Renny Harlin,United States,9/1/2021,1993,R,113 min,Action & Adventure,113
s137,Movie,Cold Mountain,Anthony Minghella,United States,9/1/2021,2003,R,154 min,"Dramas, Romantic Movies",154
s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,Australia,9/1/2021,2001,PG,95 min,"Action & Adventure, Comedies",95
s139,Movie,Dear John,Lasse Hallström,United States,9/1/2021,2010,PG-13,108 min,"Dramas, Romantic Movies",108
s140,Movie,Do the Right Thing,Spike Lee,United States,9/1/2021,1989,R,120 min,"Classic Movies, Comedies, Dramas",120
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,Argentina,9/1/2021,2014,TV-MA,100 min,"Dramas, International Movies, Thrillers",100
s142,Movie,Extraction,Steven C. Miller,United States,9/1/2021,2015,R,82 min,Action & Adventure,82
s143,Movie,Freedom Writers,Richard LaGravenese,Germany,9/1/2021,2007,PG-13,124 min,Dramas,124
s144,Movie,Green Lantern,Martin Campbell,United States,9/1/2021,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",114
s145,Movie,House Party,Reginald Hudlin,United States,9/1/2021,1990,R,104 min,"Comedies, Cult Movies",104
s146,Movie,House Party 2,"George Jackson, Doug McHenry",United States,9/1/2021,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals",94
s147,Movie,House Party 3,Eric Meza,United States,9/1/2021,1994,R,94 min,"Comedies, Music & Musicals",94
s1263,Movie,Ginny & Georgia - The Afterparty,Not Given,Pakistan,2/26/2021,2021,TV-MA,35 min,"Comedies, Dramas",35
s150,Movie,I Got the Hook Up,Michael Martin,United States,9/1/2021,1998,R,93 min,"Action & Adventure, Comedies",93
s151,Movie,In Too Deep,Michael Rymer,United States,9/1/2021,1999,R,97 min,Thrillers,97
s152,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak",China,9/1/2021,2005,TV-14,109 min,"Action & Adventure, International Movies",109
s156,Movie,Labyrinth,Jim Henson,United Kingdom,9/1/2021,1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies",101
s157,Movie,Letters to Juliet,Gary Winick,United States,9/1/2021,2010,PG,105 min,"Comedies, Dramas, Romantic Movies",105
s158,Movie,Level 16,Danishka Esterhazy,Canada,9/1/2021,2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers",102
s159,Movie,Love Don't Cost a Thing,Troy Byer,United States,9/1/2021,2003,PG-13,101 min,"Comedies, Romantic Movies",101
s160,Movie,Love in a Puff,Pang Ho-cheung,Hong Kong,9/1/2021,2010,TV-MA,103 min,"Comedies, Dramas, International Movies",103
s162,Movie,Mars Attacks!,Tim Burton,United States,9/1/2021,1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy",106
s163,Movie,Marshall,Reginald Hudlin,United States,9/1/2021,2017,PG-13,118 min,Dramas,118
s164,Movie,My Boss's Daughter,David Zucker,United States,9/1/2021,2003,R,86 min,"Comedies, Romantic Movies",86
s165,Movie,Mystery Men,Kinka Usher,United States,9/1/2021,1999,PG-13,121 min,"Action & Adventure, Comedies",121
s1472,Movie,Best of Stand-Up 2020,Not Given,Pakistan,12/31/2020,2020,TV-MA,77 min,Stand-Up Comedy,77
s167,Movie,Once Upon a Time in America,Sergio Leone,Italy,9/1/2021,1984,R,229 min,"Classic Movies, Dramas",229
s168,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman",United States,9/1/2021,2008,PG,76 min,"Children & Family Movies, Comedies",76
s169,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",United States,9/1/2021,2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",95
s170,Movie,Poseidon,Wolfgang Petersen,United States,9/1/2021,2006,PG-13,98 min,"Action & Adventure, Dramas",98
s1746,Movie,Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón,Not Given,Pakistan,11/3/2020,2020,TV-PG,15 min,Documentaries,15
s171,Movie,Rhyme & Reason,Peter Spirer,United States,9/1/2021,1997,R,89 min,"Documentaries, Music & Musicals",89
s172,Movie,Same Kind of Different as Me,Michael Carney,United States,9/1/2021,2017,PG-13,120 min,"Dramas, Faith & Spirituality",120
s173,Movie,School of Rock,Richard Linklater,United States,9/1/2021,2003,PG-13,110 min,"Comedies, Music & Musicals",110
s174,Movie,Snervous Tyler Oakley,Amy Rice,United States,9/1/2021,2015,PG-13,83 min,"Documentaries, LGBTQ Movies",83
s175,Movie,Tears of the Sun,Antoine Fuqua,United States,9/1/2021,2003,R,121 min,"Action & Adventure, Dramas",121
s176,Movie,The Blue Lagoon,Randal Kleiser,United States,9/1/2021,1980,R,105 min,"Dramas, Romantic Movies",105
s177,Movie,The Golden Child,Michael Ritchie,United States,9/1/2021,1986,PG-13,94 min,"Action & Adventure, Comedies",94
s178,Movie,The Guns of Navarone,J. Lee Thompson,United Kingdom,9/1/2021,1961,TV-14,156 min,"Action & Adventure, Classic Movies",156
s179,Movie,The Interview,"Evan Goldberg, Seth Rogen",United States,9/1/2021,2014,R,112 min,"Action & Adventure, Comedies",112
s180,Movie,The Nutty Professor,Tom Shadyac,United States,9/1/2021,1996,PG-13,95 min,"Comedies, Romantic Movies",95
s181,Movie,The Nutty Professor II: The Klumps,Peter Segal,United States,9/1/2021,2000,PG-13,107 min,"Comedies, Romantic Movies",107
s183,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,United States,9/1/2021,2008,PG-13,114 min,Comedies,114
s184,Movie,In the Line of Fire,Wolfgang Petersen,United States,8/31/2021,1993,R,129 min,"Action & Adventure, Classic Movies",129
s186,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",United States,8/31/2021,2021,TV-MA,86 min,"Documentaries, Sports Movies",86
s1957,Movie,Zulu Man in Japan,Not Given,Pakistan,9/25/2020,2019,TV-MA,44 min,"Documentaries, International Movies, Music & Musicals",44
s189,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",France,8/28/2021,2008,TV-MA,97 min,"Comedies, International Movies",97
s2237,Movie,Little Singham: Legend of Dugabakka,Not Given,Pakistan,7/15/2020,2020,TV-Y7,68 min,"Children & Family Movies, Comedies",68
s2336,Movie,Seven (Telugu),Not Given,Pakistan,6/26/2020,2019,TV-14,116 min,"Dramas, International Movies, Romantic Movies",116
s191,Movie,Thimmarusu,Sharan Koppisetty,India,8/28/2021,2021,TV-14,125 min,"Dramas, International Movies",125
s192,Movie,Wind River,Taylor Sheridan,United Kingdom,8/28/2021,2017,R,107 min,"Dramas, Independent Movies",107
s193,Movie,C Kkompany,Sachin Yardi,India,8/27/2021,2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies",127
s197,Movie,He's All That,Mark Waters,United States,8/27/2021,2021,TV-14,92 min,"Comedies, Romantic Movies",92
s196,Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,India,8/27/2021,2008,TV-14,128 min,"Comedies, Dramas, International Movies",128
s200,Movie,Koi Aap Sa,Partho Mitra,India,8/27/2021,2006,TV-14,135 min,"Comedies, Dramas, International Movies",135
s201,Movie,Krishna Cottage,Santram Varma,India,8/27/2021,2004,TV-14,124 min,"Action & Adventure, Horror Movies, International Movies",124
s202,Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu",India,8/27/2021,2003,TV-14,136 min,"Dramas, International Movies, Thrillers",136
s203,Movie,Kyaa Kool Hai Hum,Sangeeth Sivan,India,8/27/2021,2005,TV-MA,165 min,"Comedies, International Movies, Music & Musicals",165
s204,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,India,8/27/2021,2016,TV-MA,124 min,"Comedies, International Movies",124
s205,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,India,8/27/2021,2012,TV-MA,136 min,"Comedies, International Movies",136
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,India,8/27/2021,2001,TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy",150
s207,Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,India,8/27/2021,2010,TV-MA,112 min,"Dramas, Independent Movies, International Movies",112
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,India,8/27/2021,2008,TV-14,119 min,"Action & Adventure, International Movies, Music & Musicals",119
s209,Movie,Once Upon a Time in Mumbaai,Milan Luthria,India,8/27/2021,2010,TV-14,133 min,"Dramas, International Movies, Music & Musicals",133
s210,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,8/27/2021,2013,TV-14,142 min,"Dramas, International Movies, Music & Musicals",142
s211,Movie,Ragini MMS,Pawan Kripalani,India,8/27/2021,2011,TV-MA,93 min,"Horror Movies, International Movies",93
s212,Movie,Ragini MMS 2,Bhushan Patel,India,8/27/2021,2014,TV-MA,113 min,"Horror Movies, International Movies",113
s216,Movie,Shootout at Lokhandwala,Apoorva Lakhia,India,8/27/2021,2007,TV-MA,116 min,"Action & Adventure, Dramas, International Movies",116
s217,Movie,Shor In the City,"Raj Nidimoru, Krishna D.K.",India,8/27/2021,2011,TV-14,106 min,"Comedies, Dramas, Independent Movies",106
s218,Movie,The Dirty Picture,Milan Luthria,India,8/27/2021,2011,TV-14,145 min,"Comedies, Dramas, International Movies",145
s228,Movie,Really Love,Angel Kristi Williams,United States,8/25/2021,2020,TV-MA,95 min,"Dramas, Independent Movies, Romantic Movies",95
s3398,Movie,ChuChuTV Surprise Eggs Learning Videos (Hindi),Not Given,Pakistan,10/18/2019,2019,TV-Y,34 min,Children & Family Movies,34
s3395,Movie,ChuChuTV Bedtime Stories & Moral Stories for Kids (English),Not Given,Pakistan,10/18/2019,2019,TV-Y,47 min,Children & Family Movies,47
s215,Movie,SAS: Rise of the Black Swan,Magnus Martens,Not Given,8/27/2021,2021,R,124 min,"Action & Adventure, International Movies",124
s222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,Not Given,8/25/2021,2021,TV-14,93 min,Documentaries,93
s229,Movie,The November Man,Roger Donaldson,United States,8/25/2021,2014,R,108 min,Action & Adventure,108
s230,Movie,The Old Ways,Christopher Alender,United States,8/25/2021,2020,TV-MA,90 min,Horror Movies,90
s232,Movie,The Water Man,David Oyelowo,United States,8/25/2021,2021,PG,92 min,"Children & Family Movies, Dramas",92
s231,Movie,The River Runner,Rush Sturges,Not Given,8/25/2021,2021,TV-MA,86 min,"Documentaries, Sports Movies",86
s234,Movie,Count Me In,Mark Lo,United Kingdom,8/24/2021,2021,TV-MA,82 min,"Documentaries, Music & Musicals",82
s236,Movie,Untold: Caitlyn Jenner,Crystal Moselle,Not Given,8/24/2021,2021,TV-PG,70 min,"Documentaries, LGBTQ Movies, Sports Movies",70
s241,Movie,The Witcher: Nightmare of the Wolf,Han Kwang Il,Not Given,8/23/2021,2021,TV-MA,84 min,"Action & Adventure, Anime Features",84
s245,Movie,Gunshot,Karim El Shenawy,Not Given,8/20/2021,2018,TV-14,96 min,"Dramas, International Movies, Thrillers",96
s269,Movie,Unroyal,Moses Inwang,Nigeria,8/15/2021,2020,TV-MA,97 min,"Dramas, International Movies",97
s3396,Movie,ChuChuTV Bedtime Stories & Moral Stories for Kids (Hindi),Not Given,Pakistan,10/18/2019,2019,TV-Y,56 min,Children & Family Movies,56
s248,Movie,Sweet Girl,Brian Andrew Mendoza,United States,8/20/2021,2021,R,110 min,"Action & Adventure, Dramas",110
s3397,Movie,ChuChuTV Surprise Eggs Learning Videos (English),Not Given,Pakistan,10/18/2019,2019,TV-Y,61 min,Children & Family Movies,61
s3470,Movie,Little Baby Bum: Go Buster,Not Given,Pakistan,10/1/2019,2019,TV-Y,58 min,Children & Family Movies,58
s247,Movie,Man in Love,Yin Chen-hao,Not Given,8/20/2021,2021,TV-MA,115 min,"Dramas, International Movies, Romantic Movies",115
s237,Movie,Boomika,Rathindran R Prasad,Not Given,8/23/2021,2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers",122
s238,Movie,Boomika (Hindi),Rathindran R Prasad,Not Given,8/23/2021,2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers",122
s239,Movie,Boomika (Malayalam),Rathindran R Prasad,Not Given,8/23/2021,2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers",122
s240,Movie,Boomika (Telugu),Rathindran R Prasad,Not Given,8/23/2021,2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers",122
s252,Movie,Like Crazy,Drake Doremus,United States,8/19/2021,2011,PG-13,91 min,"Dramas, Independent Movies, Romantic Movies",91
s254,Movie,Bombay,Mani Ratnam,India,8/18/2021,1995,TV-14,135 min,"Dramas, International Movies, Romantic Movies",135
s260,Movie,Pahuna,Paakhi Tyrewala,India,8/18/2021,2018,TV-PG,82 min,"Comedies, Dramas, International Movies",82
s258,Movie,O Kadhal Kanmani,Mani Ratnam,India,8/18/2021,2015,TV-14,133 min,"Dramas, International Movies, Romantic Movies",133
s262,Movie,The Secret Diary of an Exchange Student,Bruno Garotti,Brazil,8/18/2021,2021,TV-14,97 min,"Comedies, International Movies, Romantic Movies",97
s265,Movie,Walk of Shame,Steve Brill,United States,8/16/2021,2014,R,94 min,"Comedies, Independent Movies",94
s263,Movie,Untold: Deal With the Devil,Laura Brownson,United States,8/18/2021,2021,TV-MA,78 min,"Documentaries, LGBTQ Movies, Sports Movies",78
s268,Movie,The Piano,Jane Campion,New Zealand,8/15/2021,1993,R,121 min,"Classic Movies, Dramas, Independent Movies",121
s458,Movie,Lift Like a Girl,Mayye Zayed,Egypt,7/15/2021,2021,TV-PG,93 min,"Documentaries, International Movies, Sports Movies",93
s250,Movie,The Loud House Movie,Dave Needham,Not Given,8/20/2021,2021,TV-Y7,88 min,"Children & Family Movies, Comedies, Music & Musicals",88
s251,Movie,A Faraway Land,Veronica Velasco,Not Given,8/19/2021,2020,TV-PG,102 min,"Dramas, International Movies, Romantic Movies",102
s253,Movie,Black Island,Miguel Alexandre,Not Given,8/18/2021,2021,TV-MA,105 min,"International Movies, Thrillers",105
s256,Movie,Memories of a Murderer: The Nilsen Tapes,Michael Harte,Not Given,8/18/2021,2021,TV-MA,86 min,"Documentaries, International Movies",86
s259,Movie,Out of my league,Alice Filippi,Not Given,8/18/2021,2020,TV-MA,92 min,"Comedies, Dramas, International Movies",92
